Class,ImageName,Entropy,MeanIntensity,MedianIntensity,Contrast,Energy,Correlation
blue,1.bmp,5.68469085926552,75.0125390625,72,0.153722570532915,0.426354614338717,0.735026785904648
blue,2.bmp,6.10849449748998,115.762916666667,120,0.21794670846395,0.28252650511984,0.759258629726854
blue,3.bmp,5.67887981600161,72.7586197916667,72,0.172217868338558,0.421332528274312,0.676967563967022
blue,4.bmp,6.23047905327261,102.120924479167,98,0.230394461859979,0.247427646710866,0.769505822866499
blue,5.bmp,5.56026920815861,73.8151822916667,73,0.122139498432602,0.518559206403021,0.722112450734889
blue,6.bmp,6.36391288573854,87.0501171875,86,0.258254963427377,0.275763575313725,0.738090670957231
blue,7.bmp,5.72733235442895,128.7290625,128,0.162121212121212,0.351057601334936,0.726083795057799
green,1.bmp,6.53784656286708,92.1146744791667,90,0.194422675026123,0.231497737686562,0.868088729972449
green,2.bmp,6.88014160444364,116.8749609375,123,0.29260710553814,0.179485942824636,0.861158212490314
green,3.bmp,6.71191999599358,91.0282161458333,87,0.220271682340648,0.199019313978068,0.880141077853832
green,4.bmp,7.12301295061403,94.912109375,87,0.387539184952978,0.129868608253107,0.891743670337509
green,5.bmp,6.64793143058009,114.446263020833,112,0.178996865203762,0.26227326502513,0.88303137891681
green,6.bmp,6.98819951042323,129.641809895833,127,0.528787878787879,0.121393891760541,0.749660874628504
green,7.bmp,6.9495142802047,128.96578125,127,0.421969696969697,0.136448435754693,0.789343460799278
red,1.bmp,6.77779441887627,127.2861328125,122,0.180851619644723,0.221333294639728,0.899912193262073
red,2.bmp,5.28851283624194,45.7452473958333,45,0.051371473354232,0.771617368829359,0.737032977227743
red,3.bmp,5.83425094044501,124.02546875,123,0.191105015673981,0.358333764968352,0.680616743871996
red,4.bmp,5.90210006000958,112.931979166667,112,0.120245559038662,0.505281566953177,0.76644253790798
red,5.bmp,4.41595382980129,61.06921875,61,0.149085684430512,0.412240952793528,0.676594425128246
red,6.bmp,5.16100124814181,46.9965885416667,46,0.0660527690700105,0.806156539587858,0.52822785657588
white,1.bmp,6.35587778063877,126.6722265625,122,0.157471264367816,0.332033565986314,0.865377978262481
white,2.bmp,7.32830418877765,118.812591145833,130,0.256191222570533,0.144824152234702,0.93217966503787
white,3.bmp,7.01206436291062,120.7667578125,115,0.236115464994775,0.181817092664839,0.904312684025619
white,4.bmp,7.20621475012165,132.578333333333,121,0.346577847439916,0.136804546928588,0.90555684997318
white,5.bmp,6.99919303392096,117.203658854167,111,0.19226750261233,0.212827431159503,0.924556593340171
white,6.bmp,6.74237687435643,142.575377604167,138,0.303605015673981,0.196061475813699,0.817754437484404
